name,brand,detail,strong,cat1,cat2,wc,ingredients
zelimir-1,Kelsey Berwin,Zelimir is an intense floral fragrance for the modern  self-confident woman. The rich blend of floral  fruity and woody notes makes a very intense impression and instantly underlines your personal appeal. Zelimir is inspired by the magic of the Orient.,,FLORAL,FRUITY,Floral Crisp Fruity,"['Fruity Notes', 'Jasmine', 'Oud / Agarwood', 'Apple', 'Rose', 'Peach', 'Raspberry', 'Musk']"
en-el-bosque-1,Paula Cahen D'Anvers,Enchanting  joyful  and charming.,,FLORAL,FRUITY,Floral Crisp Fruity,"['Floral Notes', 'Fruity Notes', 'Sandalwood', 'Vanilla']"
endora,Majestic,Endora is a Chypre Floral fragrance for women blended in floral and fruity notes with a soft cadence and earthly sophistication.  It reminds you of spring with its fresh accords.,,CHYPRE,FRUITY,Mossy Woods Crisp Fruity,"['Earthy Notes', 'Fruity Notes', 'Floral Notes']"
eau-so-sexy-eau-de-parfum,Victoria's Secret,You look good and you know it: that's what Eau So Sexy feels like... My latest crush is me. And I'm pretty cool with that.,Eau de Parfum,FLORAL,FRUITY,Floral Crisp Fruity,"['Fruity Notes', 'Apple', 'Cream (Chantilly)']"
27-8,Ajmal,A refreshing yet mysterious scent with a sensual trail.,,LEATHER,FRUITY,Dry Woods Crisp Fruity,"['Fruity Notes', 'Rose', 'Woody Notes', 'Leather', 'Spicy Notes', 'Amber', 'Musk']"
exclusive-pink,Majestic,This sensual and exotic fragrance from Majestic Perfumes is perfect for young women & those who yearn to emit vibes of youthfulness. A very floral fragrance  Exclusive Pink is your answer to feeling fresh and bubbly when you most need it.,,FLORAL,FRUITY,Floral Crisp Fruity,"['Floral Notes', 'Fruity Notes']"
another-sense,Nych,An overdose of precious ingredients for an explosion of powerful and subtle scents.,,FLORAL,FRUITY,Floral Crisp Fruity,"['Floral Notes', 'Fruity Notes', 'White Flowers', 'Peony', 'Citruses']"
touche-pour-femme,Rue Broca,A scent inspired by nature’s fruity blooms at their most tempting.,,WOODY,FRUITY,Woods Crisp Fruity,"['Fruity Notes', 'Woody Notes', 'Heliotrope', 'Moss', 'Musk']"
northern-beauty,Oriflame,Like the radiant light of Swedish summer  Northern Beauty enlivens the senses with sparkling notes. The floral heart releases a fresh breeze  magnified by a royal elegance  while the base settles into comfortable silage.,,FLORAL,FRUITY,Floral Fresher Fruity,"['Lily', 'Fruity Notes', 'Musk', 'Floral Notes', 'Watermelon', 'Amber', 'Cedarwood']"
cassandra,Jeanne Arthes,Treat yourself to a fragrance that will make you stand out in every situation. Jeanne Arthes Cassandra for women is an embodiment of exclusive luxury and its intricate composition will delight even the most discerning fragrance lovers.,,FLORAL,FRUITY,Soft Floral Crisp Fruity,"['Fruity Notes', 'Rose', 'Musk', 'Ylang-ylang', 'Aldehyde', 'Woody Notes']"
mademoiselle-jacadi-petite-cerise-1,Jacadi,Mademoiselle Jacadi Petite Cerise is like a sunny afternoon under the cherry trees. This gorgeous creation  with delicate and addictive notes  is suitable for children's skin  but will also appeal to adults.,Eau de Toilette,FLORAL,FRUITY,Soft Floral Fresher Fruity,"['Jasmine', 'Cherry', 'Musk', 'Rose', 'Violet', 'Pear', 'Mandarin', 'Vanilla', 'Ambrox (Ambergris)']"
cherry-blossom-3,Demeter Fragrance Library,Inspired by the cherry blossom  (sakura) is Japan's unofficial national flower. It has been celebrated for many centuries and takes a very prominent position in Japanese culture. This composition is a soft  sheer floral with a hint of cherry.,,FLORAL,FRUITY,Floral Fresher Fruity,"['Floral Notes', 'Cherry', 'Almond', 'Fruity Notes']"
sweetheart-cherry,Bath & Body Works,A scent that smells like a sweet surprise from a secret admirer.,,FLORAL,FRUITY,Fruity Classical,"['Cherry', 'Pistachio', 'Cream (Chantilly)']"
ryukyu-cherry-blossom,Vivinevo,This dreamy scent is a celebration of the cherry blossoms that were brought from Ryukyu to Paris in the 17th century.,,FLORAL,FRUITY,Floral Fresher Fruity,"['Cherry Blossom', 'Cherry', 'Peach', 'Ambergris', 'Cedarwood']"
lovefest-burning-cherry-48,Kayali,Have you ever smelled a wonderful  intense and bewitching scent that instantly sets your soul on fire? Lovefest Burning Cherry The 48 will do that to you.,Eau de Parfum,WOODY,AMBERY (ORIENTAL),Woody Amber Crisp Gourmand,"['Cherry', 'Guaiac Wood', 'Praline', 'Heliotrope', 'Rose Damascena', 'Jasmine (Sambac)', 'Bergamot', 'Balsam (Peru)', 'Raspberry', 'Tonka Bean', 'Musk', 'Palo Santo', 'Patchouli', 'Vetiver (Haiti)']"
cherry-oud,Guerlain,"“In this creation between the sacred and the mischievous  I wanted to play on the contrast between the rarity  mystery  and darkness of oud wood  and the smiling irreverence of cherry "" Delphine Jelk  Guerlain Perfumer.",,LEATHER,FRUITY,Dry Woods Crisp Fruity,"['Cherry', 'Oud (Assam)', 'Leather', 'Rose (Turkey)', 'Cardamom', 'Cinnamon', 'Musk', 'Rose (Bulgaria)']"
opus-xiv-royal-tobacco,Amouage,One of knowledge and aesthetic pleasure  Opus XIV Royal Tobacco is a fragrant journey along the Tropic of Cancer from Oman to Cuba  connecting royal frankincense to regal tobacco.,,WOODY,TOBACCO,Woody Amber Rich,"['Tobacco Leaf', 'Oud (Assam)', 'Incense / Olibanum', 'Guaiac Wood', 'Vetiver', 'Benzoin', 'Ciste Labdanum', 'Myrrh', 'Balsam (Peru)', 'Tonka Bean', 'Vanilla (Madagascar)', 'Birch Tar', 'Elemi', 'Musk', 'Anise', 'Basil', 'Bergamot', 'Cardamom', 'Fenugreek', 'Lavender', 'Liquorice (Licorice)', 'Orange Blossom', 'Osmanthus', 'Rose (Bulgaria)', 'Prunol (Plum)']"
shangri-la,Orientica,Shangri-LaThe Promised Land  whether it exists or not  does not matter. It is important that people dare to leave all prejudices  all fears  to follow the path  to find the place where people are always meant to be.,,WOODY,WOODY,Dry Woods Classical,"['Sandalwood', 'Clove', 'Prunol (Plum)', 'Cedarwood', 'Ginger', 'Palisander Rosewood', 'Rose (Bulgaria)', 'Pine Needles', 'Vetiver (Bourbon)', 'Raspberry', 'Thyme']"
harmony,Orientica,Harmony is the melodic aroma of life  skilfully combined with the notes of food  drink and spices. It forms a joyful song with a fragrant aroma that describes prosperity  wealth and harvest.,,FLORAL,AMBERY (ORIENTAL),Floral Amber Crisp Gourmand,"['Jasmine', 'Coffee', 'Vanilla', 'Rose', 'Ylang-ylang', 'Mandarin', 'Pear', 'Sandalwood', 'Prunol (Plum)']"
sway-with-me-1,Maison Dixsept,Sway With Me is an ode to love and nature  dance and movement.,,AMBERY (ORIENTAL),AMBERY (ORIENTAL),Amber Classical,"['Vanilla (Madagascar)', 'Ylang-ylang', 'Prunol (Plum)', 'Tobacco Accord']"
oud-khol,Guerlain,"“In this work on oud wood  I wanted to capture the incandescence of bakhoor  the captivating incense that has been burned for centuries in the Middle-East "" Thierry Wasser  Guerlain Master Perfumer.",,WOODY,WOODY,Woods Classical,"['Oud (Assam)', 'Leather', 'Aldehyde', 'Geranium', 'Neroli', 'Moss', 'Musk', 'Praline']"
oud-seven-2021,Matière Première,The idea for this fragrance was to refine a rough precious Assam oud by shaping it with seven facets.,,WOODY,AMBERY (ORIENTAL),Woody Amber Classical,"['Oud (Assam)', 'Ciste Labdanum', 'Tobacco Leaf', 'Cypriol / Nagarmota', 'Vetiver (Haiti)', 'Amber', 'Violet Leaves', 'Patchouli (Indonesia)']"
opus-xiii-silver-oud-1,Amouage,Silver Oud is an olfactory representation of Stendhal's 19th century French novel  The Red and the Black  and its intelligent and ambitious protagonist  Julien Sorel. The fragrance is a manifestation of the tension between idealism and realism  the contradiction between thought and feeling and the power of mimetic desire.,,WOODY,AMBERY (ORIENTAL),Woody Amber Rich,"['Oud (Assam)', 'Ambrarome', 'Cypriol / Nagarmota', 'Guaiac Wood', 'Cedarwood (Virginia)', 'Birch', 'Castoreum', 'Vanilla (Madagascar)', 'Patchouli']"
silver-oud,Amouage,Silver Oud is an olfactive depiction of Stendhal’s 19th-century French novel  The Red and the Black  and its intelligent and ambitious protagonist  Julien Sorel. Paying tribute to the House’s signature storytelling tradition  our perfumer brings Silver Oud to life in a scent that showcases the most precious oud in all its glory.,,WOODY,AMBERY (ORIENTAL),Woody Amber Rich,"['Oud (Assam)', 'Ambrarome', 'Cypriol / Nagarmota', 'Guaiac Wood', 'Cedarwood (Virginia)', 'Birch', 'Castoreum', 'Vanilla (Madagascar)', 'Patchouli']"
oud-ulya,Amouage,A barnyard oud  deep  dark  and sensuous. Extreme velvety potency. Generous like the nature of the oasis of Ulya.,,LEATHER,AMBERY (ORIENTAL),Dry Woods Rich,"['Oud (Assam)', 'Birch', 'Vanilla']"
fleur-du-desert,Louis Vuitton,Hiding spectacular wonders and unforgettable emotions  the desert is magnified with an immensity that invites us to dream even further. For the fifth work in this collection  Louis Vuitton Master Perfumer Jacques Cavallier-Belletrud wanted to capture the natural wonders of the desert in its original setting  blossoming at the heart of a rich and resolutely sophisticated composition. More than a perfume: a signature.,,WOODY,AMBERY (ORIENTAL),Woody Amber Crisp White Flower,"['Oud (Assam)', 'Orange Blossom', 'Jasmine (Sambac)', 'Rose (Bulgaria)', 'Jasmine (Grasse)', 'Rose (Grasse)']"
opus-xv-king-blue,Amouage,King Blue evokes the union of the real and the unreal  the clashing of the impossible and the mundane  the surrealistic manifest that life is never truly what it seems to be  the meeting of fire and nightshade. An oneiric wood supreme. Surrealism in scent.,,WOODY,AMBERY (ORIENTAL),Woody Amber Crisp Citrus,"['Oud (Assam)', 'Amber', 'Mandarin', 'Oak', 'Sandalwood', 'Blackcurrant', 'Incense / Olibanum', 'Pink Pepper', 'Leather', 'Patchouli']"
oriental-oud,Scents Of Arabia,Oriental Oud is made from the finest raw materials and stands for elegance and style.,,WOODY,AMBERY (ORIENTAL),Woody Amber Classical,"['Oud (Assam)', 'Incense / Olibanum', 'Patchouli', 'Papyrus', 'Apricot', 'Ginger', 'Floral Notes', 'Leather', 'Lily Of The Valley', 'Liquorice (Licorice)', 'Raspberry', 'Candy']"
oud-nude-1,Guerlain,"""I composed this fragrance as a fairy tale whose fragrances express the sensuality of bodies  their curves  their skin "" Delphine Jelk  Guerlain perfumer.",,WOODY,AMBERY (ORIENTAL),Woody Amber Crisp Fruity,"['Oud (Assam)', 'Sandalwood', 'Vanilla (Madagascar)', 'Incense / Olibanum', 'Cedarwood (Atlas)', 'Almond', 'Cumin', 'Musk', 'Raspberry']"
equivoque-1,Givenchy,Équivoque is an enigma  a paradox. An elusive fragrance  made for discreet personalities who keep their cards secret  except perhaps in the secrecy of a private office.,,WOODY,AMBERY (ORIENTAL),Woody Amber Classical,"['Oud (Assam)', 'Cypriol / Nagarmota', 'Incense / Olibanum', 'Vetiver (Haiti)', 'Cardamom', 'Clove', 'Patchouli (Indonesia)']"
cherry-cream,Demeter Fragrance Library,Cherry Cream bursts with fresh cherry fruit  perfectly balanced with smooth  creamy Vanilla. A true treat for the senses.,,AMBERY (ORIENTAL),FRUITY,Amber Fresher Fruity,"['Vanilla', 'Cherry', 'Cream (Chantilly)']"
cherry-fever,Lunio,Cherry Fever is a contrasting fragrance  with subtle yet powerful accords that create an intoxicating trail.,,AMBERY (ORIENTAL),FRUITY,Amber Crisp Fruity,"['Cherry (black)', 'Benzoin (Siam)', 'Heliotrope', 'Amber', 'Oud / Agarwood', 'Cinnamon', 'Leather', 'Patchouli', 'Rose']"
lyrd-artisan-cherry-vetiver,Avon,Lyrd Artisan introduces you to a world of authentic fragrances expertly crafted by master perfumers: captivating gender-neutral scents with unexpected combinations of the finest ingredients that are exquisite alone  but even more fascinating together.,,WOODY,FRUITY,Woods Crisp Fruity,"['Cherry', 'Vetiver (Haiti)']"
intense-cherry-1,Montale,The intense cherry and citrus are adorned with hints of highly fragrant flowers which leave a warm sillage of woody gourmand notes  followed by a woody base that rests gently on the skin.,,CHYPRE,CITRUS,Mossy Woods Crisp Citrus,"['Cherry (black)', 'Cedarwood', 'Jasmine (Egypt)', 'Bergamot', 'Lemon', 'Oakmoss', 'Patchouli', 'Liquorice (Licorice)', 'Musk', 'Rose (Bulgaria)', 'Sandalwood (Mysore)', 'Vanilla (Madagascar)']"
cherry-ambition,The 7 Virtues,Cherry Ambition is not just a fragrance  it’s a statement of your inner fire and destiny. Embrace your ambition and leave a trail of inspiration wherever you go.,,FLORAL,AMBERY (ORIENTAL),Floral Amber Crisp Fruity,"['Cherry', 'Marshmallow', 'Guaiac Wood', 'Cherry Blossom', 'Iris / Orris', 'Osmanthus', 'Agave', 'Amber', 'Incense / Olibanum', 'Mandarin', 'Pink Pepper', 'Vanilla', 'Cognac', 'Musk', 'Saffron', 'Sandalwood (Australia)']"
flora-notis-cherry-blossom-scent,Jill Stuart,Like the cherry blossoms that bloom in the spring  sweet to the touch  it fascinates with its surroundings overflowing with a vivid  sensational and bold. Like a woman loved by everyone with a carefree smile  this fragrance creates spirit and courage.,,FLORAL,FRUITY,Floral Fresher Fruity,"['Cherry Blossom', 'Cherry', 'Musk', 'Violet', 'Guava', 'Lychee', 'Almond', 'Amber']"
wet-cherry-liquor,Bohoboco,This scent is an over-sensual  almost erotic journey into the depths of temptations and memories. It is the search for elation that brings inner rebirth.,,AMBERY (ORIENTAL),FRUITY,Amber Crisp Fruity,"['Cherry', 'Liquor', 'Tonka Bean', 'Vanilla', 'Strawberry', 'Caramel', 'Sandalwood', 'Vetiver', 'Rose (Turkey)']"
giovanna-baby-cherry-1,Giovanna Baby,A romantic  engaging and unique scent. A delicious love potion.,,FLORAL,AMBERY (ORIENTAL),Floral Amber Fresher Fruity,"['Floral Notes', 'Amber', 'Cherry (black)', 'Vanilla', 'Gooseberry', 'Grapefruit', 'Lychee', 'Peach']"
ma-cherry,Adopt,A nod to the cherry blossom. A spring fragrance that evokes the freshness of a cherry orchard in bloom and the renewal of nature. Nothing opulent or ostentatious  only a tender and delicate fragrance.,,FLORAL,FRUITY,Floral Crisp Fruity,"['Cherry', 'Cherry Blossom', 'Patchouli']"
chocolate-covered-cherry,Bath & Body Works,Let the scent of a sweet treat take you to the patisserie of your dreams.,,FLORAL,FRUITY,Fruity Crisp Gourmand,"['Cherry', 'Liquor', 'Milk Chocolate']"
black-essential-self-1,Avon,Black Essential Self captures the essence of masculinity with an air of sophistication  inviting you to feel the best part of being authentic. A fresh scent that conveys an elegant air of confidence.,,AROMATIC FOUGERE,GREEN,Aromatic Fougère Crisp Green,"['Mint', 'Clary Sage', 'Cedarwood', 'Basil', 'Geranium', 'Citruses', 'Ciste Labdanum', 'Vetiver', 'Truffle']"
n-7-frescor-mediterraneo,Victorio & Lucchino,Discover the refreshing personality of the Mediterranean. An intense citrus freshness is mixed with the elegance of an unmistakable marine accord. Spicy notes blend with an exquisite combination of woods that add character and masculinity to the fragrance.,Eau de Toilette,CITRUS,WOODY,Water Fresher,"['Grapefruit', 'Lemon', 'Cedarwood', 'Ginger', 'Marine', 'Lime', 'Floral Notes', 'Guaiac Wood', 'Patchouli', 'Black Pepper']"
far-away-beyond,Avon,A fragrance that redefines the meaning of glamour and sophistication. Embark on a new journey of discovery that reveals the beauty and femininity of Far Away in unexpected ways. Escape to the island of Madagascar and explore a new natural and authentic side of vanilla. Sustainable and respectful of nature  it is a fragrance that leaves an unforgettable trail of diffusion.,,AMBERY (ORIENTAL),FRUITY,Amber Crisp Fruity,"['Pear', 'Vanilla (Madagascar)', 'Jasmine', 'Bergamot', 'Pink Pepper', 'Musk', 'Orange Blossom', 'Sandalwood', 'Woody Notes']"
eliana-glamour,Jequiti,Eliana Glamour fragrance is a scent that translates her femininity and glamour through the surprising combination of flowers and fruits with the touch of vanilla.,,WOODY,AMBERY (ORIENTAL),Woody Amber Crisp Fruity,"['Amber', 'Pineapple', 'Patchouli', 'Melon', 'Pear', 'Tangerine', 'Tonka Bean', 'Vanilla', 'Caramel', 'Jasmine', 'Musk', 'Orchid', 'Osmanthus']"
choc-1,O Boticário,An enveloping scent that provokes an immediate seduction.,,AMBERY (ORIENTAL),CITRUS,Soft Amber Crisp Gourmand,"['Amber', 'Vanilla', 'Milk Chocolate', 'Benzoin', 'Lemon', 'Cream (Chantilly)', 'Peach', 'Wild Berries', 'Musk', 'Orange Blossom', 'Sandalwood', 'Woody Notes']"
selection-by-soliver-women-eau-intense,S.Oliver,Effortless  confident and with a seductive intensity. This olfactory creation offers the perfect cloak of fragrance for an exquisite mise-en-scène. For a night out in a classy bar of choice  a chic private party or a club in the city  Selection Eau Intense is the perfect fragrance for a special evening  making it a glamorous gift for the holidays.,,FLORAL,FRUITY,Floral Crisp Fruity,"['Peach', 'Peony', 'Tonka Bean', 'Jasmine', 'Orange Blossom', 'Bergamot', 'Pink Pepper', 'Ambergris', 'Musk', 'Vanilla']"
baldessarini-signature-1,Baldessarini,Baldessarini Signature embodies strong traits: masculine  intense  sophisticated  unmistakable and unwaveringly fresh. This fragrance will be the first choice for confident men who go through life with an unmistakable signature; men who are not afraid to make their mark anytime  anywhere; men who love the good things in life  but don't need these things to feel validated.,,WOODY,AMBERY (ORIENTAL),Woody Amber Crisp,"['Ciste Labdanum', 'Cypress', 'Patchouli', 'Cypriol / Nagarmota', 'Amber', 'Apple', 'Bergamot', 'Pink Pepper', 'Akigalawood (Patchouli note)', 'Leather', 'Fougère accord']"
patchouli-indonesia,The Merchant of Venice,Patchouli Indonesia is a deliciously enveloping and velvety woody fragrance  expressing all the depth and mystery of patchouli  enhanced by green  resinous and soft notes  together with fresh and bright touches.,,CHYPRE,FLORAL,Mossy Woods Classical,"['Patchouli (Indonesia)', 'Bergamot', 'Cedarwood']"
247-for-her-1,Pacha Ibiza,A perfume for girls who know how to have fun 24 hours a day.,Eau de Toilette,AMBERY (ORIENTAL),FLORAL,Floral Amber Fresher Fruity,"['Vanilla', 'Peony', 'Green Apple', 'Iris / Orris', 'Milk', 'Apricot', 'Bergamot', 'Freesia', 'Ginger', 'Musk', 'Sandalwood']"
arbo-forest-1,O Boticário,Arbo Forest believes that nature is the most powerful charger ever. The forest is a true source of energy  and being in contact with it awakens the senses and brings renewal.,,AROMATIC FOUGERE,GREEN,Aromatic Fougère Crisp Green,"['Lavender', 'Cedarwood', 'Oakmoss', 'Green Notes', 'Apple', 'Citruses', 'Amber', 'Ciste Labdanum', 'Musk', 'Ozonic Notes', 'Patchouli', 'Rhubarb', 'Vetiver', 'Violet']"
black-label-men,S.Oliver,Black and white: the opposite and yet the perfect unity. Purist and anything but boring. The classic scent that embodies pure elegance and manages to make a clear statement in its simplicity. One that is found in the new s.Oliver Black Label fragrances.,Eau de Toilette,AROMATIC FOUGERE,AROMATIC FOUGERE,Aromatic Fougère Classical,"['Lavender', 'Cypress', 'Geranium', 'Clary Sage', 'Vetiver', 'Cedarwood', 'Citruses', 'Orange', 'Patchouli']"
sirenis,Liquides Imaginaires,Laying on the rock  the mermaids sing their songs  like perfume  with irresistible charm to attract the seafarers near the rugged shore. This fragrance is a mirage  a song of magical  invigorating and euphoric smells that give hope on the horizon: the discovery of a promised land with new scents. A lively  slightly iodised fragrance. A wind of love: Sirenis.,,FLORAL,WATERY,Floral Fresher Water,"['Floral Notes', 'Sea Water', 'Musk', 'Rose', 'Amber', 'Bergamot', 'Cardamom', 'Driftwood', 'Moss', 'Mustard Seed', 'Clary Sage', 'Sandalwood', 'Vetiver', 'Patchouli (Indonesia)']"
levidence,Yves Rocher,L’Evidence  is a story of freedom  the idea of leaving a mark for a better world.​,,FLORAL,FRUITY,Floral Crisp Fruity,"['Magnolia', 'Peach', 'Patchouli']"
shakira-golden-dream-2020,Shakira,Shakira presents Golden Dream  the emblem for achievement  dedication and courage in its most golden elegant version. Shakira has made it to the top. She has fulfilled her dream to be an internationally recognised artist. It's time for her to share the secret of her success with all her fans. The dream continues with you.,Eau de Toilette,AMBERY (ORIENTAL),GOURMAND,Floral Amber Fresher Gourmand,"['Vanilla', 'Orange Blossom', 'Coffee', 'Bergamot', 'Hawthorn', 'Lemon', 'Peach', 'Pear', 'Peony', 'Cedarwood', 'Musk']"
214-jasmim-patchouli,O Boticário,We have chosen the most fragrant and striking flower to be the protagonist of this eau de parfum. Jasmine raises the olfactory level with its strength and femininity. Patchouli  an ingredient so often used in fine perfumery and on the international market  is in this jewel-like creation because it contains its most premium and pure fraction  guaranteeing the sophistication of the fragrance.,,FLORAL,CITRUS,Floral Crisp Citrus Fruity,"['Patchouli (Indonesia)', 'Bergamot', 'Jasmine', 'Grapefruit', 'Lily Of The Valley', 'Pear', 'Pomarose (Apple Rosy note)', 'Amber', 'Musk', 'Peach', 'Raspberry', 'Vanilla (Madagascar)']"
the-duckers-into-the-jungle-1,Mandarina Duck,The Duckers Into The Jungle is an adventurous and exciting journey in search of nature's ultimate splendours. It has the same exotic and erotic appeal of a big cat in its natural element: the jungle.,,AROMATIC FOUGERE,CITRUS,Aromatic Fougère Crisp Citrus,"['Lavandin', 'Cherry Blossom', 'Oakmoss', 'Rosemary', 'Lemon', 'Tangerine', 'Rhubarb', 'Amber', 'Gardenia', 'Musk', 'Peony', 'Rose', 'Violet', 'Vetiver (Haiti)']"
quasar-surf-1,O Boticário,The perfumer went looking for ingredients in the most spectacular surf spots around the world  creating a fragrance with a freshness to inspire you to overcome your fears.,,WOODY,CITRUS,Woods Fresher,"['Sandalwood', 'Geranium', 'Black Pepper', 'Cedarwood', 'Bergamot', 'Grapefruit', 'Mandarin', 'Cardamom', 'Frangipani', 'Musk', 'Oakmoss', 'Pineapple']"
dama-da-noite-1,L'Occitane,In the moonlight a new garden blooms. The beams of light passing through the flowers reveal previously hidden colours  and the dew falling on the leaves announces the freshness of the night. It is at this moment that the flower of the Lady of the Night awakens and becomes the jewel of the garden.,,FLORAL,AMBERY (ORIENTAL),Floral Amber Classical,"['Night Blooming Jasmine', 'Mandarin', 'Sandalwood', 'Geranium', 'Tonka Bean', 'Vanilla', 'Orange', 'Patchouli', 'Pear']"
frescor-exotico-limited-edition-2023-1,Victorio & Lucchino,Explore an exotic nature. Feel the absolute freshness of citrus as it melts into sparkling spicy notes  while precious base notes bring seduction and durability to the perfume on the skin.,Eau de Toilette,WOODY,CITRUS,Woods Fresher,"['Vetiver', 'Lemon', 'Cardamom', 'Cedarwood', 'Ginger', 'Apple', 'Bergamot', 'Grapefruit', 'Patchouli', 'Amber', 'Palisander Rosewood']"
300-kmh-quantum,Avon,300km/h Quantum presents an adrenaline rush out of this world! A fragrance made for the man who challenges himself to go beyond the imagination and overcome barriers.,,AROMATIC FOUGERE,AROMATIC FOUGERE,Aromatic Fougère Crisp Aromatic,"['Geranium', 'Cedarwood (Virginia)']"
ikat-jasmine,Aerin,"""Ikat Jasmine embodies the modern woman  effortless style and intriguing femininity "" Aerin Lauder  Founder.",Eau de Parfum,FLORAL,FLORAL,Floral Classical Jasmine,"['Jasmine (Egypt)', 'Jasmine (Sambac)', 'Bergamot', 'Honeysuckle', 'Gardenia', 'Tuberose', 'Sandalwood', 'Ambrox (Ambergris)']"
spring-jasmine-1,Shanghai Tang,Inspired by the intricate decor  rich colors  infused with the local flora and cultural mysteries of the Silk Road  renowned master perfumer  Carlos Benaim has created a collection for Shanghai Tang that captivates all of the senses. The collection pays tribute to the grandeur of Chinese culture through the multiple facets and mystical essence of the unique scents.,Eau de Parfum,FLORAL,CITRUS,Floral Fresher White Flower,"['Violet', 'Jasmine (Egypt)', 'Incense / Olibanum', 'Musk', 'Sandalwood']"
rosa-turca-1,Nishane Istanbul,Rose Turca is inspired by the tradition of Isparta  the homeland of roses. While the intense rose hypnotises  a bouquet of flowers and musky notes prolong an endless song.,,FLORAL,FLORAL,Floral Classical Rose,"['Rose Damascena', 'Jasmine', 'Jasmine (Egypt)', 'Ylang-ylang', 'Musk']"
peace-jasmine,Clinique,Calm. Like teatime with your best friend. Indulge in a soothing pause in an otherwise crazy day. Peace & Jasmine has the ability to transport you back to a special time  and smelling it after that time  might recall those memories and wonderful moments.,,FLORAL,CITRUS,Floral Fresher Citrus,"['Jasmine (Egypt)', 'Guaiac Wood', 'Mate', 'Freesia', 'Lily Of The Valley', 'Bergamot', 'Lemon', 'Cedarwood', 'Lavender', 'Musk', 'Pear', 'Sandalwood']"
jasmin-exclusif,Mancera,A composition full of contrasts around oud and jasmine  two raw materials of rare depth and with multiple facets. A sensual treasure.,,FLORAL,FRUITY,Floral Crisp Fruity,"['Jasmine (Egypt)', 'Bergamot', 'Sandalwood', 'Jasmine', 'Cinnamon', 'Pink Pepper', 'Saffron', 'Oud / Agarwood', 'Ciste Labdanum', 'Leather', 'Patchouli', 'Vanilla']"
so-flowers-1,Montale,A bouquet full of highly fragrant flowers comes together to create a delicate and bewitching composition. A musky base of warmth and sweetness completes the fragrance.,Eau de Parfum,FLORAL,ALDEHYDIC,Soft Floral Classical,"['Jasmine (Egypt)', 'Hyacinth', 'Musk', 'Iris / Orris', 'Rose', 'Ylang-ylang']"
instant-crush-1,Mancera,This irresistible scent is sensual and romantic with a wave of elegance that will stir your senses.,Eau de Parfum,FLORAL,AMBERY (ORIENTAL),Floral Amber Classical,"['Jasmine (Egypt)', 'Amber', 'Sandalwood', 'Rose (Morocco)', 'Vanilla', 'Citruses', 'Ginger', 'Musk', 'Oakmoss', 'Saffron']"
jasmin-angelique,Atelier Cologne,He had prepared for this moment for several months. Each clue would lead her to the next recalling one by one the places of that magical first encounter. She is finally there. Overcome by the beauty and power of jasmine in bloom  it is apparent their love is ready for the next step.,,FLORAL,GREEN,Floral Crisp Green,"['Angelica', 'Jasmine (Egypt)', 'Galbanum', 'Lemon', 'Sichuan Pepper', 'Amber', 'Fig', 'Tonka Bean', 'Incense (Somalia)']"
jasmine-sun-rose-eau-de-toilette-2,Molton Brown,An Egyptian landscape captured in late summer’s blushing dusk. Royal jasmine blooms  painted as tiny stars in a sea of fields. Faraway rose sands rise and fall like dynasties with a single brushstroke. Beguile your senses with a deltaic masterpiece.,,FLORAL,CITRUS,Floral Fresher White Flower,"['Rose', 'Ciste Labdanum', 'Raspberry', 'Osmanthus', 'Jasmine (Egypt)', 'Bergamot', 'Musk', 'Patchouli', 'Peach']"
quatre-en-bleu-1,Boucheron,A multifaceted composition with a solar sillage that expresses audacity and self-confidence.,Eau de Parfum,FLORAL,FLORAL,Floral Crisp White Flower,"['Jasmine (Egypt)', 'Mandarin', 'Akigalawood (Patchouli note)', 'Tuberose', 'Rose (Turkey)', 'Bergamot', 'Cedrat', 'Musk', 'Sandalwood']"
aoud-jasmine-1,Montale,The alliance of the fruity and citrus notes open Aoud Jasmine while the sensual floral heart sublimates Aoud from Nepal for a fleshly sillage in the base.,,CHYPRE,FLORAL,Mossy Woods Crisp White Flower,"['Oud / Agarwood', 'Jasmine (Egypt)', 'Musk', 'Oakmoss', 'Mandarin', 'Pear', 'Rose (Bulgaria)', 'Green Apple', 'Jasmine (India)', 'Amber']"
dana-buchman-luxury,Dana Buchman,Dana Buchman luxury is a radiant floral fragrance that captures timeless glamour and relaxed elegance. Designed to be the finishing touch to your wardrobe  Dana Buchman Luxury is a fragrance to wear anytime  anywhere  because its scent is inherently feminine and classically elegant.,,FLORAL,FLORAL,Floral Classical Jasmine,"['Jasmine (Egypt)', 'Amaryllis', 'Bergamot', 'Honeysuckle', 'Hyacinth', 'Jasmine (Sambac)', 'Vanilla (Madagascar)', 'Carnation', 'Linden Blossom', 'Lemon Blossom', 'Mandarin', 'Sandalwood']"
