name,brand,detail,strong,cat1,cat2,wc,ingredients
full-speed-300-kmh-surfer,Avon,This unique scent invites you to dive right in and experience the unforgettable adrenaline and thrill of scoring an epic surf. A fragrance that takes you on a wild ride and makes you feel alive!​,,AROMATIC FOUGERE,WATERY,Aromatic Fougère Fresher Water,"['Peppermint', 'Ozonic Notes', 'Vetiver (Haiti)', 'Cardamom', 'Ciste Labdanum', 'Lime', 'Pepper', 'Sand Accord', 'Patchouli (Indonesia)']"
boss-bottled-united-2021,Hugo Boss,Boss Bottled United brings together masculine freshness and urban warmth. A lively fragrance that awakens the senses.,,AROMATIC FOUGERE,WATERY,Aromatic Fougère Fresher Water,"['Peppermint', 'Amber', 'Blood Orange', 'Buchu / Agathosma', 'Spearmint', 'Cashmeran (Woody musky)', 'Iris / Orris', 'Patchouli', 'Vetiver']"
quasar-next-star-wars-the-mandalorian,O Boticário,This incredible intergalactic journey is inspired by one of the biggest cinema phenomena in the world. Star Wars is about adventures  about having no boundaries to get where you want. Not to mention that it's set in outer space. It's all about Quasar Next  isn't it?,,AROMATIC FOUGERE,GREEN,Aromatic Fougère Fresher Green,"['Mint', 'Peppermint', 'Cedarwood (Atlas)', 'Clary Sage', 'Violet Leaves', 'Bergamot', 'Musk', 'Sandalwood', 'Sichuan Pepper', 'Yuzu', 'Watery']"
jaguar-classic-motion,Jaguar,Jaguar Classic Motion is not just a fragrance  it's an adventure. Created to encourage the masculine character with a raw combination of dynamic  sensuous and freshness. The vibrant appearance and desirable essence will indulge the senses. The ultimate fragrance experience with an invigorating breeze for an unmistakably masculine presence. Don't stop! Stay in motion and be alive!,Eau de Toilette,AROMATIC FOUGERE,WATERY,Water Crisp,"['Peppermint', 'Ozonic Notes', 'Patchouli (Indonesia)', 'Lavender (Provence)', 'Bergamot', 'Birch', 'Lemon', 'Amber', 'Coriander', 'Iris / Orris', 'Musk', 'Sandalwood', 'Vetiver', 'Black Pepper']"
the-most-wanted-2,Azzaro,"Azzaro The Most Wanted Intense is the fragrance of a daring man  with an infinite power of attraction. Day and night  he dares  he gambles  he constantly challenges. Heads or tails? Without hesitation  he flips a coin and takes a chance. His courage pays off  his attitude and his charisma make him ""The Most Wanted Man""  the most desired man.",,AMBERY (ORIENTAL),AMBERY (ORIENTAL),Amber Crisp,"['Cardamom', 'Caramel', 'Woody Ambery Note']"
herbae-leau,L'Occitane,A delicate and soft fragrance with a crystalline floral effect  which is followed by subtle  enveloping notes.,,FLORAL,CITRUS,Floral Fresher Citrus,"['Citruses', 'Angelica', 'Marshmallow', 'Clover']"
idole-lintense,Lancôme,Here's to the Idôles  who daringly shine the path for others. To those whose aura radiates with success and greatness  inspiring the Idôle that resides within each one of us. Create a community of Idôles and illuminate the world!,Eau de Parfum,CHYPRE,FLORAL,Mossy Woods Classical,"['Rose Centifolia', 'Musk', 'Vanilla (Bourbon)', 'Patchouli', 'Rose', 'Jasmine (Egypt)', 'Jasmine (Grandiflorum)', 'Jasmine (Sambac)', 'Patchouli (Indonesia)', 'Rose Petal', 'Clean Accord', 'Amberwood', 'Bitter Orange', 'Mandarin', 'Pear', 'Sandalwood', 'Cedarwood (Texas)']"
idole-aura,Lancôme,Idôle Aura embodies the unstoppable light of success that is spread and shared from one woman to another. A powerful energy that brings together and unites a whole community of idols. Together nothing is impossible. Together we are all idols.,Eau de Parfum,FLORAL,AMBERY (ORIENTAL),Floral Amber Crisp Fruity,"['Rose Damascena', 'Salty', 'Vanilla', 'Heliotrope', 'Jasmine', 'Rose Centifolia', 'Jasmine (Grandiflorum)', 'Rose Petal', 'Bergamot', 'Pear', 'Vanilla (Bourbon)']"
terre-de-lumiere-sparkling-edition-2019-1,L'Occitane,As the day draws to a close  the sky is set alight  embracing all the shades of gold. Beauty is suspended in time as this stunning spectacle reaches its height. This is the golden hour. Meaning 'land of light. The special time of day in Provence is known as the golden hour. A short moment at dusk as the sun falls and the sky fills with golden and purple light. The air is filled with the most fragrant Provençal scents.,,FLORAL,CITRUS,Floral Fresher Gourmand,"['Almond', 'Champagne', 'Lavender', 'Peony', 'Bitter Orange', 'Grapefruit', 'Benzoin', 'Musk', 'Tonka Bean']"
pur-blanca-harmony,Avon,An invigorating and authentic fragrance that transports you to a simple yet beautiful world. Find the perfect harmony between mind and body and wrap yourself in this gentle perfume.,,FLORAL,MUSK SKIN,Soft Floral Crisp Musk,"['Jasmine', 'Musk', 'Raspberry', 'Iris / Orris', 'Violet', 'Bergamot', 'Pear', 'Amber', 'Cedarwood (Texas)']"
paradoxe-1,Prada,Paradoxe captures the essence of the indefinable  ever-changing Prada woman  who is never the same  but always herself. With a timeless bouquet of white flowers reinvented in an avant-garde signature  the fragrance embraces all the paradoxical dimensions of scent and self.,Eau de Parfum,FLORAL,AMBERY (ORIENTAL),Floral Amber Crisp White Flower,"['Neroli', 'Jasmine (Sambac)', 'Ambrofix (Ambergris)', 'Serenolide (Musk)', 'Vanilla (Bourbon)', 'Bergamot', 'Pear', 'Tangerine', 'Benzoin (Laos)', 'Orange Blossom (Tunisia)']"
white-tea-2,Elizabeth Arden,Pure  simple and exquisitely uncomplicated. White Tea is tea in its purest form. Echoing this powerful simplicity  Elizabeth Arden White Tea takes you to a place of luxurious indulgence that allows you to revel in the moment. Special and delighting  this fragrance will transport you to an inviting setting  immerse you in a warm memory  making it the perfect escape for your senses.,,FLORAL,MUSK SKIN,Soft Floral Fresher Musk,"['White Tea', 'Ambrette Seed', 'Mandarin', 'Iris / Orris', 'Serenolide (Musk)', 'Sylkolide (Musk)', 'Fern', 'Mate', 'Clary Sage', 'Tonka Bean', 'Woody Notes', 'Sea Breeze', 'Ambermax (Woody ambery)']"
big-pony-purple-4-for-women-1,Ralph Lauren,Edgy and refined with a taste for the exotic  this Oriental floral is designed for the stylish woman; her flair expresses her unique personality and catches the eye and hearts of anyone who crosses her path.,Eau de Toilette,FLORAL,AMBERY (ORIENTAL),Floral Amber Fresher Fruity,"['Amber', 'Blood Orange', 'Cherry', 'Cassia', 'Magnolia', 'Cedarwood', 'Musk', 'Watermelon', 'Blackcurrant Bud', 'Sylkolide (Musk)']"
island-fantasy-1,Britney Spears,A tantalizing fragrance that evokes warm sunshine  ocean breezes and brings you to a place where you can wiggle your toes in the sand. Escape from it all through Island Fantasy.,Eau de Toilette,FLORAL,FRUITY,Floral Fresher Fruity,"['Jasmine', 'Red Berries', 'Sugar Cane', 'Freesia', 'Violet', 'Watermelon', 'Citruses', 'Clementine', 'Mandarin', 'Musk', 'Sylkolide (Musk)']"
definition-1,Christina Aguilera,Christina Aguilera's power can be defined as an innate confidence that radiates from within. It is something she intimately knows and exudes. Without a need for explanation  her presence alone  illuminates her inner strength.,,FLORAL,MUSK SKIN,Soft Floral Fresher Musk,"['Heliotrope', 'Orchid', 'Musk', 'Sylkolide (Musk)', 'Amber', 'Bergamot', 'Hinoki Wood', 'Mandarin', 'Vanilla', 'Rose Apple']"
orchid-soleil,Tom Ford,Impressive and extraordinary as the solar eclipse; a rare perfumery phenomenon conjured by the star of Tom Ford.,Eau de Parfum,FLORAL,AMBERY (ORIENTAL),Floral Amber Crisp White Flower,"['Orchid', 'Tuberose', 'Vanilla', 'Lily', 'Bitter Orange', 'Cypress', 'Pepper', 'Ambroxan (Ambergris)', 'Cashmeran (Woody musky)', 'Chestnut', 'Clove', 'Patchouli', 'Vetiver', 'Sylkolide (Musk)']"
dylan-purple,Versace,"""Through Dylan Purple  I felt the need to give back to Italy what it had given me in the past: a simple  pure  unadorned happiness. I created this fragrance as an invitation to travel "" Christophe Raynaud  Perfumer.",,FLORAL,FRUITY,Floral Fresher Fruity,"['Freesia', 'Pear', 'Ambrofix (Ambergris)', 'Mahonial', 'Pomarose (Apple Rosy note)', 'Bergamot', 'Bitter Orange', 'Iso E Super (Cedarwood Note)', 'Belambre (Woody ambery)', 'Cedarwood (Virginia)', 'Sylkolide (Musk)']"
toy-boy,Moschino,Toy Boy speaks to a unique  dynamic  enthusiastic and passionate man  but one who is not afraid to reveal his more tender and playful side. Toy Boy is an exciting play of endless codes seeking out re-evaluation and liberation.,Eau de Parfum,WOODY,AMBERY (ORIENTAL),Woody Amber Crisp,"['Elemi', 'Vetiver (Haiti)', 'Rose', 'Cashmeran (Woody musky)', 'Ambermax (Woody ambery)', 'Bergamot', 'Pear', 'Red Berries', 'Clove', 'Flax', 'Magnolia', 'Nutmeg', 'Sylkolide (Musk)']"
vince-camuto-ciao-1,Vince Camuto,"A fragrance that instantly say's ""Ciao!"" The warmth of the Italian sunshine comes alive through in the opening with radiant citrus. Gem-like fruits create sparkle throughout with a floral heart that will make you smile. A striking and mesmerizing background fills the air with glowing and captivating notes.",Eau de Parfum,FLORAL,AMBERY (ORIENTAL),Floral Amber Fresher Fruity,"['Rose', 'Blackberry', 'Strawberry', 'Honeysuckle', 'Jasmine', 'Lily Of The Valley', 'Passion Flower', 'Peony', 'Amber', 'Vanilla (Madagascar)', 'Cashmeran (Woody musky)', 'Grapefruit', 'Mandarin', 'Amaro Siciliano', 'Patchouli (Indonesia)', 'Sandalwood (Australia)', 'Sylkolide (Musk)']"
tommy-girl-summer-ocean-wave-2022-1,Tommy Hilfiger,Escape to the islands and embrace a summer of seaside discovery with Tommy Girl Summer Ocean Wave  a limited edition inspired by the breathtaking beaches of Hawaii.,,FLORAL,FRUITY,Soft Floral Fresher Fruity,"['Hibiscus', 'Pear', 'Macadamia', 'Orchid', 'Water Lily', 'Sandalwood', 'Leaves', 'Sylkolide (Musk)', 'Woody Ambery Note']"
oud-minerale-2024,Tom Ford,Oud Minérale captures the refreshing play of surf and sea against the burning flame of smoked wood. Tom Ford's reinvention of oud marks an olfactive watershed that pairs two of the world's most intriguing elements to reveal tonalities both exhilarating and powerfully transcendent.,,WOODY,WATERY,Woods Fresher Water,"['Oud / Agarwood', 'Ambergris', 'Seaweed / Algae', 'Ambroxan (Ambergris)', 'Cypriol / Nagarmota', 'Guaiac Wood', 'Vetiver', 'Cedarwood (Atlas)', 'Pepperwood', 'Salicylate (Floral notes)', 'Ciste Labdanum', 'Fir Balsam', 'Patchouli', 'Pink Pepper', 'Styrax', 'Sylkolide (Musk)']"
ever-bloom-eau-de-parfum,Shiseido,Ever Bloom is all about femininity at its ultimate and most subtle power. The perfume is a messenger  a perfect wave diffusing the boundless aura. A beautiful woman  which lead to the creation of a fragrance that is a perfect fusion of delicacy and sensuality.,Eau de Parfum,FLORAL,MUSK SKIN,Soft Floral Fresher Musk,"['Lotus', 'Orange Blossom', 'Sylkolide (Musk)', 'Cyclamen', 'Gardenia', 'Rose']"
abyssis,Liquides Imaginaires,I am a giant monster that can crush the biggest wooden hulls and no one can beat me. More powerful than the winds and the tides. I am a Kraken  a creature from the deep. Abyssis is my sea power.,,WOODY,WATERY,Woods Fresher Water,"['Cedarwood (Atlas)', 'Calone (Marine)', 'Styrax', 'Sandalwood', 'Ambrofix (Ambergris)', 'White Pepper', 'Black Pepper', 'Cosmone (Musk)', 'Sylkolide (Musk)']"
tubereuse-nue,Tom Ford,"Like the labyrinthine passages of the enchanted city of Jaisalmer  the ""Golden City"" that houses the maharaja's palace  the perfume reveals itself in a mystical dance of temptations.",Eau de Parfum,FLORAL,FLORAL,Floral Rich Tuberose,"['Tuberose', 'Suede', 'Sichuan Pepper', 'Jasmine (Sambac)', 'Akigalawood (Patchouli note)', 'Styrax', 'Sylkolide (Musk)', 'Almond', 'Bergamot', 'Coriander', 'Red Berries', 'Black Pepper']"
pure-pastel-mint-1,Betty Barclay,This spring  cool mint tones are mixed with pastel lemon  giving rise to new and unusual combinations in the fashion world. When combined with pinks and reds  these contrasts create an even more summery freshness. The diversity of pastel prints with floral and graphic elements heralds the warmer months.,,FLORAL,MUSK SKIN,Soft Floral Crisp Musk,"['Rose', 'Yuzu', 'Sylkolide (Musk)', 'Cyclamen', 'Ylang-ylang', 'Tea', 'Pink Pepper', 'Blackcurrant Bud', 'Sandalwood']"
guess-1981-indigo-for-men,Guess,Embolden your senses with this timeless scent  expertly capturing the strength and natural sensuality of the GUESS brand.,,WOODY,CITRUS,Woods Fresher,"['Cedarwood', 'Fig', 'Oakmoss', 'Bergamot', 'Amber', 'Iris / Orris', 'Lavender', 'Musk', 'Clary Sage', 'Tonka Bean', 'Coconut Milk', 'Sylkolide (Musk)']"
missoni-eau-de-toilette,Missoni,A delicate fragrance inspired by the morning sunrise and dedicated to a sensual and exuberant woman whose femininity really stands out.,Eau de Toilette,FLORAL,CITRUS,Floral Crisp Citrus Fruity,"['Blood Orange', 'Heliotrope', 'Rose', 'Rose Hip', 'Water Lily', 'Freesia', 'Peony', 'Rosyfolia (Rose)', 'Pear', 'Red Berries', 'Cedarwood', 'Georgywood (Cedarwood note)', 'Sylkolide (Musk)']"
ever-bloom-extrait-absolu-1,Shiseido,Like an ever-blooming flower  she opens gently and gradually. Unfolding herself to the energy surrounding her  she suffuses every circumstance with her sweet aura  transforming its ambiance  moment by moment  revelation by revelation. She lingers - like an unforgettable scent - in the mind of all who meet her.,,FLORAL,MUSK SKIN,Soft Floral Crisp Musk,"['Cyclamen', 'Gardenia', 'Sylkolide (Musk)', 'Lotus', 'Orange Blossom', 'Rose']"
my-pearls-1,The Merchant of Venice,My Pearls is inspired by the preciousness of the pearl  symbol of femininity  loved by the great sopranos who have graced the stage of the Gran Teatro La Fenice.,Eau de Parfum,FLORAL,ALDEHYDIC,Soft Floral Classical,"['White Flowers', 'Violet', 'Pink Pepper', 'Rosyfolia (Rose)', 'Mahonial', 'Cedarwood', 'Sandalwood', 'Tonka Bean', 'Blackcurrant Bud', 'Sylkolide (Musk)']"
my-scent-1,Trussardi,She's young  dynamic and cosmopolitan. She's sincere  and successful. She follows her dreams and pursues her goals with strength and determination. She know s how to distinguish herself and to express her personality through her fragrance: Trussardi My Scent.,Eau de Toilette,FLORAL,FLORAL,Floral Crisp White Flower,"['Lilac', 'Pear', 'Floral Notes', 'Musk', 'Heliotrope', 'Rose', 'Cashmeran (Woody musky)', 'Serenolide (Musk)']"
pink-flamingos,Prada,A cloud of pink bubbles floating in the heart of Tokyo. The joyful embrace of nature and the synthetic animates the familiar to produce an exalted form of beauty. Pink Flamingos is the scent of fluorescent pink flowers  stylised and innocent.,Eau de Parfum,FLORAL,FRUITY,Fruity Crisp,"['Rose', 'Cherry', 'Neroli', 'Iris / Orris', 'Mandarin', 'Serenolide (Musk)']"
vert-de-fleur,Tom Ford,There are days in winter when the Tom Ford man gets a premonition of spring across the European capitals  Paris  London  Vienna. It comes unconsciously  as though poking through a wet blanket of grey fog or light snow; a pulsating call to leave the city and run to the hills.,Eau de Parfum,FLORAL,GREEN,Floral Crisp Green,"['Galbanum', 'Oakmoss', 'Vetiver', 'Hyacinth', 'Iris / Orris', 'Orange Blossom', 'Petitgrain', 'Rose', 'Broom', 'Jasmine (Sambac)', 'Basil', 'Neroli', 'Ambrette Seed', 'Cedarwood', 'Oak', 'Patchouli', 'Cosmone (Musk)', 'Serenolide (Musk)']"
idole-eau-de-parfum-valentines-day-edition-2021-1,Lancôme,Declare you are the future with this iconic floral perfume and be your own Idôle. Do not compromise with your dreams. And when it comes to love  dare to go beyond the limits. Love is something you experience  it must be declared to exist: dare to say it out in the air.,,FLORAL,FRUITY,Floral Crisp Fruity,"['Pear', 'Jasmine (Grandiflorum)', 'Musk', 'Rose', 'Bergamot', 'Citruses', 'Vanilla']"
look-1,Agatha Ruiz de la Prada,The protagonist of this very special perfume is one of the most representative icons of Agatha Ruiz de la Prada's fashion collections  the eye. On this occasion it becomes the perfect perfume for those who are willing to get thousands of likes.,Eau de Toilette,AMBERY (ORIENTAL),FRUITY,Floral Amber Crisp Citrus Fruity,"['Vanilla', 'Red Apple', 'Orange Blossom', 'Benzoin', 'Amber', 'Grapefruit', 'Pink Pepper', 'Tonka Bean', 'Blackcurrant Bud', 'Cocoa', 'Musk', 'Patchouli']"
vesper-glitz,Ex Nihilo,Vesper Glitz celebrates with radiance the airiness of an impertinent night out in Paris. Enjoy the beauty of a nocturnal sillage in which floral notes of jasmine and mimosa embrace intoxicating emanations of ambery notes.,,FLORAL,AMBERY (ORIENTAL),Floral Amber Classical,"['Jasmine', 'Tonka Bean', 'Mandarin', 'Mimosa', 'Ylang-ylang', 'Vanilla', 'Cedarwood', 'Musk', 'Neroli', 'Pink Pepper']"
the-amara,Van Cleef & Arpels,Thé Amara is like an olfactory stroll  a tranquil wander through tea plantations in the early morning.,,FLORAL,FRUITY,Floral Fresher Fruity,"['Rose', 'Musk', 'Pink Pepper', 'Sweet Pea', 'Tea', 'Bergamot', 'Cashmeran (Woody musky)', 'Cedarwood', 'Peppermint']"
inverness,Memo,A fragrance imagined as a tribute to Amyris and guided by a deep and subtle woody conviction  which keeps its mystery intact  and to which we return  as if magnetised.,,WOODY,WOODY,Woods Classical,"['Cedarwood (Atlas)', 'Amyris', 'Iris / Orris', 'Cedarwood (Texas)', 'Guaiac Wood', 'Sandalwood (Australia)', 'Mate']"
idole-emily-in-paris-2021,Lancôme,As the saying goes  you're never fully dressed without perfume. Idôle Emily in Paris is presented in a unique bottle dressed in Emily's famous heart shape and Eiffel Tower handbag charm and brings a sense of power and sensuality that captures the exuberant joie de vivre of the French capital.,Eau de Parfum,FLORAL,FRUITY,Floral Crisp Fruity,"['Pear', 'Jasmine (Grandiflorum)', 'Musk', 'Rose Centifolia', 'Bergamot', 'Citruses', 'Vanilla']"
idole-eau-de-parfum-holiday-edition-2021,Lancôme,The fragrance of a new generation of conquering women. Strong. Outspoken. Empowered. The fragrance of the leaders of tomorrow  who dare to reach the sky and open new horizons. The fragrance of the new idols  who pave the way for others. Idôle. Declare you are the future with this iconic floral perfume and be your own Idôle.,,FLORAL,FRUITY,Floral Crisp Fruity,"['Pear', 'Jasmine (Grandiflorum)', 'Musk', 'Rose Centifolia', 'Bergamot', 'Citruses', 'Vanilla']"
paradoxe-intense,Prada,A delicate  intense scent for the bold  powerful woman.,,FLORAL,AMBERY (ORIENTAL),Floral Amber Crisp White Flower,"['Jasmine', 'Moss', 'Ambrofix (Ambergris)', 'Amber', 'Woody Notes']"
tommy-hilfiger-impact,Tommy Hilfiger,A celebration of Tommy Hilfiger's love for music and his passion for emerging musical talent - a vibrant  modern composition with real soul and rock 'n roll roots.,Eau de Toilette,WOODY,CITRUS,Woods Fresher,"['Akigalawood (Patchouli note)', 'Cypress', 'Cocoa Leaves', 'Sandalwood', 'Cedarwood (Atlas)', 'Cedarwood (Texas)', 'Cedarwood (Virginia)', 'Bergamot', 'Bitter Orange', 'Grapefruit', 'Amber', 'Ciste Labdanum', 'Elemi', 'Musk', 'Pink Pepper', 'Red Apple', 'Clary Sage']"
narciso-rouge-eau-de-toilette-1,Narciso Rodriguez,Narciso Rouge Eau de Toilette is an irresistible  intense and magnetic fragrance to awaken and excite your passion.,Eau de Toilette,FLORAL,AMBERY (ORIENTAL),Floral Amber Classical,"['Lily', 'Tonka Bean', 'Cedarwood', 'Cyclamen', 'Musk', 'Rose (Bulgaria)', 'Vetiver']"
celtic-rose-1,Alexander McQueen,The Rose compass used by sailors to keep the right path  also called Celtic knot  was inspired by the celtic symbol of a rose. Nature's secret of clear vision revealed.,Eau de Parfum,FLORAL,FLORAL,Floral Crisp Rose,"['Rose', 'Rose (Bulgaria)', 'Cannabis Accord', 'Pepper (Madagascar)', 'Guaiac Wood', 'Peppermint', 'Vetiver (Haiti)']"
idole-nectar-2,Lancôme,Driven by the vision of a new fragrant delight  Idôle Eau de Parfum Nectar widens the field of olfactory possibilities to set the body and mind in motion. A fragrance inspired by the future  for all women charting a new course for tomorrow.,Eau de Parfum,CHYPRE,FRUITY,Mossy Woods Crisp Fruity,"['Pear', 'Popcorn', 'Rose (Turkey)', 'Patchouli (Indonesia)', 'Magnolia', 'Peony', 'Red Apple', 'Rose', 'Rose Centifolia', 'Vanilla (Bourbon)']"
idole,Lancôme,To the generation that dream big: strong women  empowered and outspoken. To the leaders of tomorrow: daring  pursuing new horizons and paving a new path. “I always say my idol is my future self ” says Idôle ambassadress  Zendaya. I can  we will. We are Idôles.,,FLORAL,FRUITY,Floral Crisp Fruity,"['Jasmine', 'Pear', 'Musk', 'Rose Centifolia', 'Bergamot', 'Citruses', 'Vanilla']"
sport-n-11-evasion-polar,Victorio & Lucchino,Slide across the mountain accompanied by a wave of marine freshness  citrus and a youthful cantaloupe accord. In the heart  an aromatic accord of rosemary and lavender blends with a powerful ginger and ends with the comforting accord of wood and amber. Musk is added to the trail to prolong the duration of the fragrance on the skin. A fresh and totally revitalising scent.,Eau de Toilette,AROMATIC FOUGERE,WATERY,Aromatic Fougère Fresher Spicy,"['Lavender', 'Marine', 'Bergamot', 'Ginger', 'Woody Ambery Note', 'Lemon', 'Melon', 'Rosemary', 'Cedarwood', 'Musk', 'Violet']"
flam,Memo,A fragrance that brings to mind the magnetic energy of the northern lights alongside the protective warmth of a cos wooden house.,,FLORAL,AMBERY (ORIENTAL),Floral Amber Crisp Citrus,"['Bitter Orange', 'Clary Sage', 'Tonka Bean', 'Floral Notes', 'Jasmine (China)', 'Jasmine (Sambac)', 'Bergamot', 'Vanilla (Madagascar)', 'Cashmeran (Woody musky)', 'Cedarwood', 'Musk', 'Ambrofix (Ambergris)']"
white-fire-1,Tiziana Terenzi,The silence of the snow; its dazzling white brought alive and sparkling by the flickering flames. The fragrance is simple and silvery. The crisp clean air  the energising fresh smell of snow  the intoxicating oxygen  and the dampened smell of fire on ice  all in the glow of the first light of dawn. This fragrance embodies the unique power and beauty of nature  crystal clear in our eyes  hearts  and our most intimate olfactory memories.,,FLORAL,WATERY,Floral Crisp Water,"['Leaves', 'Ice Cube Effect', 'Fern', 'Sandalwood', 'Ozonic Notes', 'Jasmine (China)', 'Amber', 'Musk']"
dans-la-peau,Louis Vuitton,An infusion of leather  an invitation to explore the senses. Travelling often has the power to embolden desire. Dans La Peau imprints on the skin like indelible ink. A scent that doesn't feign desire. It lays it bare.,Eau de Parfum,LEATHER,CITRUS,Dry Woods Fresher White Flower,"['Musk', 'Narcissus', 'Jasmine (China)', 'Leather', 'Apricot', 'Magnolia', 'Daffodil', 'Jasmine (Sambac)']"
matsukita,Clive Christian,A bedazzling scent that will turn heads. Just as the Japanese princess mesmerised the Victorian courts with her mystical elegance and grace  this perfume will dazzle all that encounter its colourful  silken-like trail.,,CHYPRE,FLORAL,Mossy Woods Classical,"['Oakmoss', 'Mate', 'Bergamot', 'Jasmine (China)', 'Jasmine (Sambac)', 'Amber', 'Fir Balsam', 'Guaiac Wood', 'Musk', 'Nutmeg', 'Pink Pepper', 'Woody Notes']"
radianza,Wilgermain,"""My love for flowers is infinite. So for this symphonic floral perfume  I blissfully orchestrated my floral parts and pieces thinking of the natural life cycle of a flower: from the closed bud to its eclosion  its magnificent turgescence  its nocturnal exhalations  it's languid fading away. And then the petals landing softly on the ground  exhausted but still redolent "" Rodrigo Flores-Roux  Perfumer.",,FLORAL,AMBERY (ORIENTAL),Floral Amber Fresher White Flower,"['Honeysuckle', 'Ciste Labdanum', 'Clementine', 'Tuberose', 'Violet', 'Jasmine (China)', 'Vanilla', 'Benzoin (Laos)', 'Blackcurrant Bud']"
sumatera-1,Coquillete Paris,Fresh extracts from the island of Sumatra embrace lush and mysterious spices.,,WOODY,GREEN,Woods Crisp Green,"['Cinnamon', 'Patchouli', 'Jasmine (China)', 'Jasmine', 'Cedarwood', 'White Flowers', 'Black Pepper', 'Musk', 'Vanilla (Madagascar)']"
jasmin-moghol,Chopard,Inspired by the Arabian Gardens of Paradise  Jasmin Moghol evokes a Jaipur love garden of captivating beauty; the narcotic floral and mystical garden of the Royal Palace in Jaipur.,Eau de Parfum,FLORAL,FLORAL,Floral Crisp White Flower,"['Jasmine (China)', 'Jasmine (Sambac)', 'Cypriol / Nagarmota', 'Tuberose', 'Rose (Turkey)', 'Sandalwood']"
terre-de-lumiere-leau-8,L'Occitane,Experience the magic of a Provencal sunrise with Terre de Lumière L'Eau  and let its tender fragrance transport you to a world of pure bliss. Indulge in the beauty of this shimmering dewdrop at daybreak and cherish this moment forever.,,FLORAL,FRUITY,Soft Floral Fresher Fruity,"['Almond', 'Pink Pepper', 'Tonka Bean', 'Magnolia', 'Peony', 'Blackcurrant', 'Bergamot', 'Lavender', 'Musk']"
tommy-hilfiger-impact-intense-1,Tommy Hilfiger,The first burst of freshness features a bright energetic start. The heart is dominated by creamy  rich  and addictive notes  adding a sensual and captivating element to this intense scent. The signature is inspiring and spirited  igniting to fulfil one's dreams!,Eau de Parfum,WOODY,CITRUS,Woods Fresher,"['Cedarwood (Atlas)', 'Bergamot', 'Chestnut', 'Sandalwood', 'Cedarwood (Texas)', 'Cedarwood (Virginia)', 'Akigalawood (Patchouli note)', 'Cardamom', 'Elemi', 'Red Apple', 'Tonka Bean']"
soul-of-my-soul,Etat Libre d'Orange,"""Soul of my Soul speaks of the fire god of Persia and the gods of India  and the worship of offerings to honour the gods. And to remember  by a wake in the air  the foaming whiteness of the soul that comes from everything. Here  perfume is soul  the soul is perfume "" Etienne de Swardt  Founder.",,AMBERY (ORIENTAL),AMBERY (ORIENTAL),Amber Classical,"['Benzoin', 'Incense (Somalia)', 'Musk', 'Tonka Bean', 'Vanilla (Madagascar)', 'Iris / Orris', 'Rose', 'Suede', 'Bergamot', 'Pink Pepper', 'Georgywood (Cedarwood note)', 'Sandalwood (Australia)']"
chrome-parfum-1,Azzaro,Prepare to immerse yourself in the deep blue of the Mediterranean with Azzaro Chrome Parfum.,,AROMATIC FOUGERE,CITRUS,Aromatic Fougère Crisp Citrus,"['Bergamot', 'Clary Sage', 'Fir Balsam', 'Lentisk']"
light-blue-italian-love-pour-homme-2022-1,Dolce & Gabbana,Dolce & Gabbana captures the essence of profound passion and summer intensity with Light Blue Italian Love pour Homme.,Eau de Toilette,WOODY,CITRUS,Woods Fresher,"['Grapefruit', 'Vetiver', 'Marine', 'Bergamot', 'Cashmeran (Woody musky)', 'Guaiac Wood', 'Green Notes', 'Musk', 'Ozonic Notes', 'Patchouli', 'Violet Leaves']"
noble-epine,L'Occitane,A fruity freshness  enhanced with floral and almond sweetness and musky notes.,,FLORAL,FRUITY,Soft Floral Fresher Fruity,"['Magnolia', 'Almond', 'Musk', 'Peony', 'Pear', 'Ambroxan (Ambergris)', 'Bergamot', 'Woody Notes']"
burning-desire,Orlov,A modern interpretation of the rose that expresses the tenderness and sensuality of the woman who wears it.,,FLORAL,FLORAL,Floral Classical Rose,"['Rose', 'Cardamom', 'Musk', 'Raspberry', 'Bergamot', 'Grapefruit', 'Black Pepper']"
very-good-girl-glam,Carolina Herrera,Very Good Girl Glam is an ode to the power of femininity  fearless and brilliantly bold!,Eau de Parfum,FLORAL,WOODY,Floral Amber Crisp Fruity,"['Rose', 'Cherry (black)', 'Vanilla (Bourbon)', 'Vetiver', 'Almond', 'Lily', 'Tonka Bean', 'Oakmoss', 'Ambrette Seed']"
tender-light,Estée Lauder,A burst of pure light lifts you up into a palace of dreams. Awakening  illuminating and energising  this scent will leave you feeling radiantly alive.,,CITRUS,CITRUS,Citrus Classical,"['Bergamot', 'Tea (China)', 'Iris (Florentine/Tuscany)', 'Bitter Orange', 'Neroli', 'Patchouli (Indonesia)']"
kar-wai-1,Carine Roitfeld,He is spectacularly handsome and uninhibited: the most dangerous lover I have ever known. He intoxicates me with his power  allowing me to lose myself completely. With him  I surrender to my senses.,,LEATHER,CITRUS,Dry Woods Crisp Citrus,"['Tea (China)', 'Osmanthus', 'Vetiver', 'Bergamot', 'Saffron', 'Cardamom', 'Jasmine', 'Musk', 'Rose (Turkey)']"
